,Scenario_1,Scenario_2,Scenario_3,Scenario_4
0,0.704261,0.191002,0.773402,0.807232
1,0.632909,0.203569,0.740596,0.736785
2,0.60849,0.206482,0.594022,0.71317
3,0.67221,0.239273,0.502325,0.670289
4,0.716185,0.231866,0.432198,0.6859
5,0.644833,0.214555,0.558808,0.646873
6,0.63663,0.266404,0.50383,0.635411
7,0.677838,0.278721,0.680702,0.526232
8,0.643688,0.305021,0.603653,0.429898
9,0.548776,0.197743,0.436512,0.471692
10,0.44566,0.217551,0.246598,0.474558
11,0.401208,0.176188,0.190115,0.455785
12,0.265851,0.1285,0.15129,0.402826
13,0.180763,0.191002,0.163328,0.320225
14,0.156248,0.231949,0.181989,0.239304
15,0.296471,0.256417,0.26586,0.242861
16,0.238951,0.298113,0.228038,0.429898
17,0.139459,0.27198,0.29355,0.609228
18,0.132782,0.377843,0.52861,0.704278
19,0.194785,0.383918,0.615893,0.689457
20,0.380604,0.253255,0.603653,0.565655
21,0.442894,0.210477,0.615893,0.575338
22,0.505278,0.199741,0.70478,0.659322
23,0.462353,0.18734,0.656825,0.758719
24,0.386137,0.248927,0.656825,0.784606
25,0.325946,0.383918,0.586999,0.743997
26,0.449857,0.463565,0.416247,0.715344
27,0.624515,0.478878,0.374712,0.677502
28,0.588172,0.39249,0.357958,0.641834
29,0.597138,0.353707,0.355149,0.594506
30,0.599714,0.345302,0.282113,0.618516
31,0.53132,0.296865,0.257333,0.572572
32,0.427536,0.278721,0.225831,0.593123
33,0.335008,0.270815,0.147577,0.496196
34,0.354944,0.184427,0.087282,0.445707
35,0.316884,0.206565,0.083871,0.405592
36,0.300286,0.286545,0.045246,0.397095
37,0.296471,0.248927,0.114771,0.378816
38,0.32194,0.180765,0.107849,0.348384
39,0.255167,0.144313,0.079156,0.337516
40,0.199936,0.145145,0.034512,0.387215
41,0.110652,0.32849,0.06802,0.455785
42,0.166359,0.463565,0.161422,0.569805
43,0.228839,0.538468,0.223523,0.712182
44,0.274245,0.497354,0.300071,0.725126
45,0.325851,0.535222,0.360767,0.677502
46,0.427536,0.614369,0.489183,0.653097
47,0.499841,0.658645,0.462797,0.6859
48,0.477615,0.660143,0.47604,0.677502
49,0.44566,0.660892,0.409023,0.675229
50,0.552782,0.634177,0.3092,0.736785
51,0.730588,0.589401,0.333178,0.772058
52,0.720096,0.530894,0.299971,0.773836
53,0.570048,0.560522,0.355149,0.733623
54,0.484579,0.617948,0.333278,0.699832
55,0.513577,0.660143,0.243087,0.568521
56,0.462353,0.687774,0.194228,0.611896
57,0.392909,0.655566,0.152192,0.611896
58,0.388903,0.626686,0.173963,0.580871
59,0.307917,0.620528,0.147678,0.537595
60,0.231129,0.518743,0.083871,0.533346
61,0.331097,0.474134,0.15771,0.524849
62,0.222258,0.436101,0.201652,0.491848
63,0.307822,0.425198,0.297362,0.46448
64,0.236757,0.397318,0.387454,0.429898
65,0.287695,0.334482,0.489183,0.439976
66,0.106169,0.513167,0.630741,0.575338
67,0.28283,0.584658,0.628032,0.690544
68,0.512242,0.575753,0.603653,0.714257
69,0.386137,0.602551,0.62131,0.721964
70,0.619555,0.658645,0.735279,0.740836
71,0.593323,0.659394,0.804603,0.776603
72,0.560795,0.652569,0.775309,0.750914
73,0.552782,0.67246,0.840419,0.724138
74,0.524547,0.617032,0.786645,0.702005
75,0.434499,0.582577,0.716217,0.691631
76,0.352274,0.617948,0.674482,0.712084
77,0.38337,0.673875,0.671974,0.721865
78,0.516343,0.677204,0.62131,0.750914
79,0.560795,0.661558,0.577167,0.773737
80,0.408172,0.673875,0.702272,0.802391
81,0.349603,0.614369,0.625323,0.740836
82,0.293895,0.577667,0.522792,0.70991
83,0.190684,0.5522,0.432198,0.650627
84,0.123052,0.452829,0.321139,0.594506
85,0.054086,0.409468,0.262249,0.560122
86,0.017265,0.375429,0.288433,0.527714
87,0.062862,0.383918,0.268368,0.512004
88,0.084992,0.373016,0.327861,0.530481
89,0.119809,0.400979,0.426279,0.531963
90,0.172083,0.550119,0.639971,0.611896
91,0.098156,0.60072,0.651709,0.706452
92,0.28531,0.623108,0.755344,0.696275
93,0.502607,0.661558,0.775208,0.664262
94,0.702162,0.691602,0.855067,0.706452
95,0.751383,0.715405,0.861086,0.771959
96,0.688522,0.752939,0.865601,0.818101
97,0.624515,0.750193,0.878844,0.832625
98,0.647123,0.723727,0.840419,0.840826
99,0.704261,0.702505,0.826775,0.839442
100,0.685278,0.675873,0.814736,0.838948
101,0.57787,0.69102,0.786645,0.908704
102,0.519014,0.692268,0.778118,0.924513
103,0.45539,0.684528,0.72635,0.933702
104,0.42477,0.650239,0.759357,0.914138
105,0.524547,0.562603,0.6491,0.887857
106,0.479046,0.504179,0.55309,0.903863
107,0.437266,0.513167,0.449655,0.886967
108,0.35628,0.486951,0.306592,0.871554
109,0.346932,0.517661,0.246598,0.824721
110,0.32194,0.497354,0.257333,0.783717
111,0.281494,0.500767,0.314518,0.725126
112,0.285215,0.450498,0.360767,0.76445
113,0.353609,0.436101,0.47604,0.739749
114,0.41504,0.474134,0.571549,0.745875
115,0.442798,0.503014,0.59954,0.823337
116,0.563466,0.587487,0.663146,0.863155
117,0.585596,0.651737,0.712907,0.884991
118,0.63415,0.679951,0.78193,0.907914
119,0.662099,0.678702,0.762467,0.930145
120,0.702162,0.707082,0.748121,0.924118
121,0.685278,0.655649,0.735279,0.90989
122,0.694913,0.575753,0.674482,0.923525
123,0.747949,0.606296,0.647796,0.933998
124,0.751383,0.626686,0.723039,0.950103
125,0.746995,0.68328,0.745913,0.95287
126,0.730588,0.678702,0.742803,0.953463
127,0.597138,0.569677,0.735279,0.944274
128,0.567377,0.569677,0.78203,0.957909
129,0.564801,0.525401,0.66445,0.971741
130,0.570048,0.486951,0.589808,0.959095
131,0.525882,0.377843,0.499416,0.943286
132,0.462353,0.315507,0.38314,0.921154
133,0.391574,0.313177,0.357858,0.899219
134,0.364293,0.347632,0.335887,0.87679
135,0.402544,0.42886,0.357958,0.824721
136,0.560795,0.431273,0.370499,0.736686
137,0.63062,0.443258,0.42638,0.676316
138,0.664483,0.550119,0.586999,0.650627
139,0.659905,0.559524,0.700065,0.761585
140,0.763307,0.551201,0.75735,0.802391
141,0.808522,0.587487,0.785742,0.852979
142,0.835612,0.626603,0.83139,0.883904
143,0.81558,0.674458,0.842626,0.912558
144,0.826455,0.436004,0.835202,0.917399
145,0.82531,0.378202,0.871219,0.907123
146,0.838188,0.343943,0.866805,0.91404
147,0.859364,0.23298,0.882856,0.917992
148,0.859364,0.158976,0.884361,0.918091
149,0.862989,0.191801,0.87774,0.898429
150,0.875771,0.204459,0.877539,0.879359
151,0.898092,0.27458,0.855769,0.865428
152,0.85097,0.352465,0.904326,0.838948
153,0.824738,0.312806,0.918171,0.886967
154,0.808522,0.165052,0.905329,0.844086
155,0.728776,0.067168,0.884963,0.761585
156,0.619555,0.0362,0.844131,0.695188
157,0.513577,0.032994,0.840419,0.601225
158,0.445564,0.040925,0.847542,0.507657
159,0.434499,0.070544,0.810522,0.448572
160,0.481813,0.163364,0.795775,0.445707
161,0.552878,0.257873,0.812328,0.432763
162,0.590747,0.378202,0.864296,0.471692
163,0.677743,0.464019,0.886569,0.557356
164,0.819301,0.411449,0.918171,0.603893
165,0.867663,0.322341,0.932216,0.597174
166,0.89027,0.193658,0.945158,0.646873
167,0.89027,0.120414,0.943854,0.729374
