h;Pfree1;Pfree2;Pfree3;Pfree4
1;156.6518;238.2949;121.0622;150.9267
2;166.5788;241.6883;130.5706;174.1223
3;194.5293;241.6883;132.5751;181.2637
4;216.1948;241.6883;131.7349;188.828
5;191.5919;237.2861;114.4742;179.1116
6;167.9278;229.1748;106.6236;186.6467
7;176.9191;228.9592;114.7086;200.756
8;148.7177;237.0548;110.7045;203.5702
9;121.3879;212.5401;70.8498;190.7785
10;109.7441;207.4963;68.539;214.0978
11;82.8505;193.5733;50.5134;190.9924
12;19.6507;159.299;0;167.0269
13;0;103.5897;0;144.1072
14;0;43.8606;0;92.4523
15;0;8.4379;0;49.8101
16;0;12.968;0;49.3387
17;0;41.0977;0;68.1203
18;3.232;90.8858;0;107.405
19;8.0653;89.6148;0;81.1696
20;44.5401;113.2472;0;71.3882
21;90.3465;195.9229;0;133.97
22;116.6259;214.9525;20.8094;171.4927
23;149.4898;220.7705;86.3265;203.5708
24;134.0254;212.0815;97.2199;210.3471
25;126.0782;200.1459;104.8742;219.3157
26;114.6993;183.7935;96.4844;228.0408
27;116.6968;186.9736;94.5112;213.178
28;122.3547;195.9889;77.4711;203.4913
29;71.7539;186.4188;51.298;196.582
30;44.9611;190.0198;57.8845;187.8885
31;31.4265;202.8921;63.0022;192.3758
32;0;189.6626;23.9483;154.3464
33;0;158.8049;4.8316;135.808
34;17.3955;165.1975;22.6254;153.3778
35;26.3256;178.6132;8.2753;176.9373
36;0;137.0917;0;152.8409
37;0;64.5035;0;103.2802
38;0;3.7642;0;47.0195
39;0;0;0;0
40;0;0;0;0
41;0;21.6145;0;1.4728
42;0;71.3863;0;95.8952
43;0;90.9343;0;127.8994
44;0;98.9484;0;140.1362
45;17.5423;139.0103;0;211.8991
46;50.0303;170.0646;17.164;230.9129
47;87.4545;191.1109;83.3862;235.4889
48;69.8452;175.6224;100.9994;236.6717
49;51.9563;186.4669;109.9678;236.5679
50;74.1831;192.4414;89.9159;234.0662
51;82.8117;208.9546;66.5587;231.3307
52;62.7721;228.4512;73.5481;230.6915
53;39.9475;218.7166;74.5168;222.3207
54;68.1472;211.4691;58.905;222.3964
55;93.1067;202.0257;71.1134;221.9384
56;36.7767;176.2876;90.5656;216.4471
57;62.6889;167.826;82.7006;208.2019
58;111.3391;170.9025;84.7114;207.737
59;117.6457;163.4113;100.6136;196.3685
60;81.9196;105.4216;86.3988;156.5222
61;22.42;25.6651;59.4382;100.5539
62;0;0;28.5736;56.5075
63;0;0;0;25.009
64;0;0;0;14.8973
65;0;0;0;22.4162
66;0;0;0;52.114
67;0;15.3559;0;83.128
68;0;39.8263;0;138.4684
69;28.513;100.3756;0;203.6367
70;61.0966;130.5744;10.6769;228.9872
71;83.1037;163.3302;55.1316;234.3362
72;58.017;171.07;68.8009;234.0249
73;54.6204;178.7922;103.2293;232.9924
74;48.8628;194.0545;113.8291;230.898
75;54.216;216.035;138.2128;231.6306
76;32.7321;223.6604;136.4067;231.505
77;0;212.2488;118.4431;228.2809
78;24.0442;208.0762;113.8562;222.8629
79;63.9547;203.1412;111.1482;213.5722
80;44.5911;193.2955;95.7518;181.6899
81;47.8436;181.4366;67.0108;162.4976
82;65.7762;184.1587;85.7341;181.1134
83;51.4215;174.8722;86.7307;181.9786
84;18.3501;121.9391;61.8196;130.214
85;0;59.0474;9.1069;58.1413
86;0;20.406;0;0
87;0;4.5885;0;0
88;0;14.2278;0;0
89;0;31.3415;0;0
90;0;59.6134;0;18.3971
91;0;39.3037;19.7827;40.2413
92;0;54.2961;26.2109;94.3635
93;32.1432;111.9502;99.3274;183.9261
94;64.9466;166.4809;144.031;225.1195
95;123.4421;210.4351;173.1574;233.9448
96;139.9688;230.2579;176.9219;234.0997
97;144.9399;234.4362;172.8525;231.3467
98;145.0255;237.4166;177.2511;228.7668
99;136.9881;232.787;186.1612;230.9453
100;134.9488;225.1393;184.5256;231.2934
101;109.1962;222.9562;176.2695;230.487
102;105.1027;214.3375;167.4135;215.0699
103;98.1208;215.824;162.9483;209.3399
104;120.1246;217.4332;167.14;203.7793
105;114.5172;205.2679;158.1125;186.4067
106;105.801;205.704;147.5456;183.9379
107;75.7414;197.8092;143.8744;158.8596
108;34.7761;171.6304;116.9365;99.4479
109;1.8867;125.7043;71.9224;28.6953
110;0;66.8475;14.1252;0
111;0;0;6.234;0
112;0;0;0;0
113;0;21.7094;0;0
114;47.7255;78.6256;18.0813;0
115;32.4355;86.7864;28.7428;0
116;19.3656;89.8156;49.8726;41.0587
117;70.6618;135.6067;94.7419;114.2591
118;115.722;166.2221;115.0305;157.7168
119;158.704;197.9853;147.728;199.6244
120;179.3675;215.5342;157.9627;215.6854
121;186.5781;217.3552;153.6784;205.7865
122;195.5882;223.026;151.303;199.4241
123;209.2524;227.9343;144.5106;204.6293
124;212.3169;221.0613;139.7761;181.8161
125;202.6867;211.1263;139.7312;155.6257
126;189.4501;193.5742;153.1474;130.2895
127;178.8867;193.9837;162.079;128.5768
128;142.7669;196.6346;152.8678;138.0067
129;118.69;176.7531;125.8945;111.6211
130;125.2072;181.024;111.1572;95.836
131;123.871;182.4356;102.4671;93.1239
132;84.8879;167.9822;70.9761;76.2965
133;41.0638;133.311;24.5874;42.7708
134;18.9159;89.1997;0;1.8789
135;0;52.4015;0;0
136;0;53.3707;0;0
137;0;62.5745;32.572;0
138;34.5391;91.8889;40.6914;0
139;28.6506;73.8817;35.997;0
140;19.1769;101.4938;66.3499;0
141;59.8473;158.2971;141.4222;4.5499
142;122.2079;197.0892;169.6698;73.4596
143;166.4502;228.3306;179.2037;131.9995
144;166.6208;237.5418;174.7402;111.1767
145;171.2454;237.0609;177.8062;96.3
146;186.0084;237.218;188.6577;148.2325
147;190.5258;237.9049;191.5683;168.8449
148;187.477;234.1564;189.0417;145.0716
149;177.0849;209.7094;166.567;98.3115
150;169.6062;203.5966;142.3614;98.9629
151;172.6201;199.3399;127.216;100.265
152;173.0067;196.8314;101.3398;89.5669
153;163.176;186.0223;61.389;111.5731
154;168.4339;186.4984;66.6294;88.9453
155;149.4363;167.898;50.5012;77.1525
156;101.1504;127.8244;3.9174;41.5932
157;61.9884;55.5496;0;0
158;30.9873;0;0;0
159;22.1725;0;0;0
160;0;0;9.275;0
161;5.7874;0;15.248;0
162;52.3075;57.5591;5.7739;0
163;29.3535;74.034;18.9154;0
164;6.639;104.73;28.6843;30.1828
165;53.1055;151.2244;96.6982;76.8696
166;93.8635;195.3937;139.0128;145.3567
167;146.1523;232.655;178.8399;223.038
168;146.6134;238.8175;190.5842;233.0392
169;131.4085;239.4946;191.4959;232.8411
170;118.1959;239.6712;190.8778;231.4192
171;129.9778;240.2207;194.863;230.3847
172;161.7749;240.2993;198.0578;229.7886
173;151.4695;238.0914;186.7557;224.7874
174;125.1523;240.3777;176.9382;226.0233
175;134.5949;239.1805;174.0652;221.8717
176;94.9743;234.8767;176.7314;195.7988
177;76.123;221.1744;182.8813;184.4822
178;72.643;222.5041;186.3517;200.4239
179;54.942;219.404;178.8756;207.2653
180;28.7145;180.174;153.4543;167.0118
181;0;106.895;92.2754;108.3439
182;0;40.9451;31.3297;26.9038
183;0;0;8.5942;0
184;0;4.6358;52.2488;0
185;0;39.9913;41.093;0
186;0;114.3221;40.4859;0
187;0;146.7265;53.5184;47.6072
188;6.4774;167.5498;90.2155;29.7542
189;91.7842;209.559;172.8703;142.2283
190;123.6971;229.0839;193.0206;191.3545
191;157.3069;240.2599;211.7578;230.846
192;140.3137;241.6883;213.9255;229.5237
193;114.1617;241.6883;213.914;186.7851
194;109.9324;241.6883;204.0345;177.321
195;137.3599;240.1716;210.5296;174.8017
196;158.9002;238.1894;213.5226;182.6614
197;142.569;233.0181;209.2597;170.4875
198;150.2464;223.4952;208.7157;181.4382
199;170.9369;215.5987;209.707;201.2472
200;151.9069;180.5091;212.4432;201.5679
201;140.3397;161.8007;206.8693;177.357
202;125.4843;167.7846;197.4091;172.5111
203;112.6286;163.1605;196.8741;170.2411
204;53.9515;112.3069;175.8557;126.2322
205;0;29.6551;141.9647;65.4194
206;0;0;106.8611;18.3548
207;0;0;92.735;0
208;0;0;84.6601;0
209;0;0;69.5807;0
210;0;15.5818;67.4966;32.6827
211;0;61.132;78.5939;12.8343
212;59.5479;120.8812;85.571;34.7993
213;103.1391;177.7088;131.4082;163.2634
214;128.2663;202.2703;170.3654;191.0569
215;158.3614;226.4534;203.7187;218.7379
216;170.0794;227.7583;210.2844;220.2771
217;168.1411;222.7025;212.8513;215.8704
218;163.7113;210.5442;208.8801;201.3572
219;178.587;205.1877;207.1874;199.7998
220;199.9523;217.0825;208.7599;209.0154
221;187.563;219.7903;202.5427;203.7145
222;163.5148;214.5292;202.6936;191.6281
223;149.5751;210.4027;197.3101;196.0356
224;138.0649;202.8669;193.7334;189.6696
225;131.7478;186.3179;175.0711;176.3455
226;105.0496;167.2275;167.4848;173.7865
227;97.878;143.5647;152.421;164.752
228;79.8135;97.3875;103.9169;124.0397
229;29.3209;39.76;27.2613;43.5127
230;4.4419;0;0.8641;0
231;0;0;0;0
232;0;0;0;0
233;0;0;0;0
234;3.2829;54.6889;29.0833;26.8565
235;23.0432;79.825;19.7443;48.9862
236;66.3564;101.2282;59.6893;95.1979
237;147.1684;171.6887;126.8533;174.7844
238;146.3659;196.8142;159.5425;199.3249
239;191.8599;209.2546;184.6432;212.8703
240;187.925;205.5764;185.9249;215.155
241;184.9647;220.1494;179.8469;226.4565
242;184.8821;232.076;163.7827;230.4703
243;182.0424;235.1671;150.712;230.6589
244;168.8406;234.0877;143.3278;228.7617
245;153.5411;225.9771;127.3793;212.4708
246;150.754;218.3274;135.1022;199.366
247;179.0092;215.4425;141.2167;188.6072
248;175.254;206.2096;147.2299;183.3796
249;140.6144;179.1149;137.6889;169.8228
250;134.5057;180.1512;110.6959;180.0258
251;119.8116;183.1423;88.5086;183.4312
252;75.8368;136.0601;32.4476;130.8626
253;10.0453;88.3871;0;71.745
254;0;66.021;0;10.3906
255;0;49.8214;0;0
256;0;54.8211;0;0
257;0;62.9863;0;0
258;6.3167;91.1454;0;0
259;34.8478;104.6974;0;40.244
260;54.8644;119.0657;0;50.1051
261;130.9367;195.9358;18.6796;126.9909
262;173.7361;223.1496;93.4885;156.8021
263;208.234;238.3108;132.6367;202.3862
264;218.5683;239.1575;143.7163;212.1663
265;210.4474;240.0519;138.333;210.5536
266;200.6428;239.4221;129.8689;208.1696
267;201.7663;239.3586;128.8398;219.9457
268;207.1969;238.7077;149.8279;221.7059
269;195.928;227.2051;132.2715;203.3347
270;173.6228;213.2246;129.8073;193.0867
271;167.4007;207.8625;136.6562;203.8349
272;162.1033;210.198;131.4568;211.1815
273;145.6017;194.4588;123.61;194.3334
274;158.239;198.6582;143.2006;168.4595
275;149.7382;188.7676;142.0768;153.6266
276;120.3983;154.7893;113.4982;108.7725
277;51.5315;104.1591;76.8902;20.291
278;0;70.8291;46.1177;0
279;0;53.6785;10.5985;0
280;0;59.2474;19.0475;0
281;0;66.681;22.6126;0
282;27.3529;83.0866;37.5719;30.5507
283;44.401;77.821;44.4405;12.5593
284;83.0039;99.2011;52.0639;0
285;160.1168;152.2109;91.2817;142.2079
286;162.782;153.1675;127.5907;218.9017
287;180.9754;161.8935;172.9316;231.2166
288;198.3762;192.9779;186.1881;232.2205
289;195.9734;203.0616;193.9984;231.4793
290;191.0084;196.3746;195.5962;220.3527
291;200.6596;213.9708;195.7273;190.4158
292;212.0638;220.4688;201.4134;192.8035
293;203.341;199.076;186.8908;188.6479
294;193.8178;164.7878;173.7415;187.8496
295;174.4397;141.1009;172.432;187.8682
296;122.4047;136.0934;169.5;206.7454
297;94.5334;116.563;161.2261;195.3161
298;90.9341;114.753;161.4514;168.9093
299;90.3518;121.361;154.1151;118.2606
300;61.8004;104.9174;119.1609;33.7593
301;15.7175;56.2384;75.4882;0
302;0;0;47.1004;0
303;0;0;25.9694;0
304;0;0;26.6479;0
305;2.6399;0;39.3029;0
306;47.9751;53.0419;37.1041;0
307;31.6652;45.4402;41.625;17.4722
308;32.0347;75.5167;40.814;51.1454
309;80.5354;144.3728;88.8769;142.5091
310;110.3546;167.2006;126.0997;163.2979
311;136.4715;186.8502;162.5128;181.5949
312;145.314;178.7539;171.5596;173.1232
313;153.4544;176.0345;174.7111;178.0858
314;136.8562;178.5733;174.4896;185.4349
315;123.7283;175.1436;167.5175;178.7079
316;111.3361;146.2738;162.0652;164.8285
317;112.796;128.742;159.8713;141.6409
318;135.3739;122.9542;164.3173;121.9202
319;165.352;145.4776;164.7991;133.588
320;167.684;157.2926;140.9704;162.2818
321;137.8736;142.2103;116.5638;130.9582
322;156.805;144.8724;110.289;122.2215
323;132.8581;134.5517;102.9145;109.7028
324;75.2348;67.9105;72.1386;45.2298
325;4.5206;0.8881;49.802;0
326;0;0;16.9634;0
327;0;0;3.9489;0
328;0;0;18.0768;0
329;0;0;7.6575;0
330;0;0;0;0
331;0;0;0;0
332;0;6.1826;0;0
333;63.7031;85.6311;9.8133;97.611
334;116.1221;137.9751;44.5614;151.1423
335;169.8001;162.8224;98.7694;180.0255
336;194.1322;127.5405;124.5712;173.4649
337;202.5771;126.523;139.2307;181.7994
338;184.9503;109.8059;134.1043;175.7839
339;177.8425;94.8784;127.9629;150.1101
340;161.4062;106.4236;125.7769;134.0882
341;133.8713;105.3205;115.3854;122.51
342;141.3412;104.7281;116.7894;137.0012
343;142.1796;96.473;117.9534;142.8022
344;141.9097;80.5467;87.6227;130.9481
345;131.351;48.4859;90.576;103.7974
346;153.0968;95.3268;116.6371;111.2791
347;137.1864;121.4169;111.7033;134.0324
348;84.3137;75.9655;76.5519;115.484
349;0;0;46.1189;66.6591
350;0;0;0;21.8237
351;0;0;0;0
352;0;0;0;0
353;0;0;2.4158;0
354;0;0;45.537;39.9178
355;0;0;39.3139;48.9623
356;0;0;29.826;86.1121
357;69.811;22.0159;72.9646;119.7697
358;141.1812;73.8394;107.3468;138.3419
359;183.9374;101.8353;149.257;152.6261
360;186.6606;137.0908;164.6944;195.4158
361;173.1362;149.3904;182.6628;209.4019
362;167.064;137.6521;192.1192;206.0989
363;159.9825;142.1626;199.7809;208.5811
364;162.0373;157.7686;196.7157;209.4098
365;173.9001;165.7048;183.7439;207.3625
366;195.6527;178.5462;183.002;209.8999
367;205.1232;184.4916;191.5371;209.0629
368;178.3993;185.1089;196.2156;216.1899
369;157.6844;162.3055;188.6089;192.2122
370;143.7115;134.536;165.9724;183.463
371;133.0585;108.5346;173.1943;174.438
372;93.3574;62.5153;146.4751;139.6496
373;28.4354;0;96.2693;78.4025
374;0;0;28.003;26.6776
375;0;0;0;3.3512
376;0;0;0;12.7849
377;0;0;0.2528;29.2472
378;19.6237;0;32.9587;52.519
379;6.1411;0;4.8183;57.3628
380;3.4771;0;0;98.1556
381;48.1006;58.8562;102.12;140.9332
382;100.3181;117.9133;154.4583;167.0512
383;162.1564;171.7855;184.3552;203.9374
384;166.5694;199.2977;188.7425;228.9182
385;155.0727;200.1372;192.9156;231.9949
386;152.0433;190.025;196.6237;232.9249
387;144.5371;188.5833;196.7408;233.1069
388;160.1314;204.9064;197.2095;232.8757
389;145.9306;193.6502;189.2494;229.8614
390;144.7711;185.0024;180.3601;228.2566
391;156.1462;173.752;167.2424;225.5588
392;146.6241;142.2985;156.1117;224.7336
393;123.1048;105.3808;124.8614;209.0127
394;135.6832;100.3534;127.5618;202.5966
395;143.955;92.1641;139.8456;207.1828
396;102.2233;30.4844;118.9201;187.7851
397;34.8503;0;78.5104;155.258
398;0;0;37.7488;118.472
399;0;0;0;90.4772
400;0;0;0;86.3678
401;0;0;0;92.2511
402;0;0;16.0912;121.1718
403;0;0;0;92.0663
404;0;0;13.6562;89.5337
405;0;63.5528;75.7701;147.2568
406;21.042;109.3378;102.9929;171.2743
407;83.7021;158.0305;181.6011;199.3625
408;114.8899;158.1714;190.2623;219.4838
409;127.5645;197.4298;190.1059;231.1488
410;122.0326;221.5139;191.6358;232.7253
411;118.1781;223.4914;184.9109;233.2135
412;120.3925;207.3001;161.0554;231.4283
413;101.5384;184.1234;141.8293;230.0132
414;91.3227;179.884;142.5109;225.9535
415;95.338;200.4046;143.5392;226.5576
416;71.247;191.5941;131.3205;198.4518
417;38.5399;171.0169;105.8651;170.3922
418;53.2089;165.1553;122.8736;161.0754
419;89.8732;159.6214;151.816;163.805
420;64.6876;123.8876;112.2503;143.0281
421;13.5717;53.8693;42.3685;87.5319
422;0;6.7219;0;37.8981
423;0;0;0;0
424;0;0;0;0
425;0;1.478;0;9.5101
426;0;72.3964;28.0835;61.5025
427;0;94.5428;47.3782;59.076
428;15.1259;118.9315;106.3212;69.2762
429;90.4427;171.2081;160.8241;151.5968
430;153.9132;197.6488;186.4705;200.1265
431;189.3752;226.5855;206.2642;231.5588
432;189.4882;237.7834;205.0963;235.4693
433;170.8776;241.6883;201.3819;236.5201
434;152.2804;241.6883;192.7757;235.2748
435;139.867;240.2207;182.1613;231.8389
436;131.3025;229.1406;180.7355;224.1633
437;119.8967;211.0416;173.8348;205.4104
438;122.7798;199.9288;190.1021;187.2563
439;138.636;203.0915;194.8967;188.8696
440;117.3966;187.3154;200.548;183.4962
441;69.4764;165.7105;159.7601;175.8185
442;77.5486;148.753;145.2971;162.9268
443;95.3671;121.1814;148.2095;124.2892
444;59.0386;52.5595;116.0726;48.9665
445;0;0;52.7566;0
446;0;0;0;0
447;0;0;0;0
448;0;0;0;0
449;0;0;32.5504;0
450;0;51.3287;34.709;24.3352
