h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
1,1,643.3590682,1036.9096,905.2366685,1514.897745,33.69799141,30358.55082,25000,5358.550815
1,2,565.3174616,1250.2617,1051.457358,1581.593227,35.18159238,31695.12827,25000,6695.128273
1,3,0,96.7304,580.1414652,567.5173815,12.62408364,11373.04833,9067.268934,2305.779391
2,1,359.1268549,709.8295,786.4867539,1120.684651,24.92895766,22458.52041,25000,2817.071225
2,2,0,749.2752,933.7351605,913.4167528,20.31840762,18304.87173,25000,0
2,3,229.7920474,229.7931,927.8446756,1132.446138,25.19058488,22694.22061,25000,0
3,1,372.8065513,928.8443,780.0563924,1127.776238,25.08670575,22600.63581,25000,417.7070335
3,2,273.0210821,1003.0939,1002.233908,1247.50499,27.75,25000,25000,0
3,3,103.4408807,103.4432,952.9521347,1033.405529,22.98748596,20709.44681,14837.20929,5872.237519
4,1,490.7807464,1211.0357,809.5128396,1271.998737,28.29484871,25490.8547,14981.16243,10927.3993
4,2,660.4891156,1171.1924,958.6676537,1583.923345,35.23342445,31741.82383,25000,6741.823831
4,3,227.8319505,227.833,881.7100158,1085.39794,24.14402595,21751.37473,25000,2623.612244
5,1,0,0,717.8461708,702.225584,15.62058678,14072.6007,25000,0
5,2,591.658421,1623.1221,1027.498348,1583.923345,35.23342445,31741.82383,25000,13483.64766
5,3,330.5474418,438.7453,810.8765639,1116.586215,24.83779041,22376.38776,25000,0
6,1,120.8329055,120.8335,939.8589306,1037.610806,23.08102982,20793.72056,20793.72056,0
6,2,515.8904767,1635.5117,1103.266293,1583.923345,35.23342445,31741.82383,25000,20225.47149
6,3,0,0,670.4163306,655.8278339,14.58849667,13142.78979,0,13142.78979
7,1,489.8632434,746.4405,1129.293526,1583.923345,35.23342445,31741.82383,25000,6741.823831
7,2,615.4064997,1395.8306,1003.75027,1583.923345,35.23342445,31741.82383,25000,26967.29532
7,3,0,0,710.7856081,695.3186616,15.46694644,13934.18598,25000,2076.97577
8,1,434.6478092,1428.3591,1184.50896,1583.923345,35.23342445,31741.82383,25000,13483.64766
8,2,517.6304579,747.669,1101.526311,1583.923345,35.23342445,31741.82383,25000,33709.11916
8,3,29.73841902,29.7386,855.7575382,866.2272517,19.26870548,17359.19412,19436.1699,0
9,1,436.7502882,1270.6824,1182.406481,1583.923345,35.23342445,31741.82383,25000,20225.47149
9,2,496.5476752,1309.3191,1122.609094,1583.923345,35.23342445,31741.82383,25000,40450.94299
9,3,667.2544234,914.6714,951.9023459,1583.923345,35.23342445,31741.82383,25000,6741.823831
10,1,433.7334733,1859.3377,1185.423296,1583.923345,35.23342445,31741.82383,25000,26967.29532
10,2,571.9301589,1601.4852,1047.22661,1583.923345,35.23342445,31741.82383,25000,47192.76682
10,3,225.5467944,225.5519,1064.058716,1261.543238,28.06227241,25281.3265,3375.694458,28647.45587
11,1,443.7754657,1763.6729,1175.381304,1583.923345,35.23342445,31741.82383,25000,33709.11916
11,2,628.8496341,1474.1494,990.3071352,1583.923345,35.23342445,31741.82383,25000,53934.59065
11,3,516.1949733,1273.3493,1102.961796,1583.923345,35.23342445,31741.82383,25000,35389.2797
12,1,468.6064609,1585.297,1150.550308,1583.923345,35.23342445,31741.82383,25000,40450.94299
12,2,624.9712456,1544.1082,994.1855237,1583.923345,35.23342445,31741.82383,25000,60676.41448
12,3,611.4114686,760.5801,1007.745301,1583.923345,35.23342445,31741.82383,25000,42131.10353
13,1,497.4176658,1600.0289,1121.739104,1583.923345,35.23342445,31741.82383,25000,47192.76682
13,2,654.8027569,1481.8473,964.3540124,1583.923345,35.23342445,31741.82383,25000,67418.23831
13,3,134.8094951,322.6066,740.8196331,856.5751284,19.05399979,17165.76557,25000,34296.8691
14,1,604.5295169,699.1319,1014.627252,1583.923345,35.23342445,31741.82383,25000,53934.59065
14,2,360.2150378,1081.2564,915.7485775,1248.198195,27.76541994,25013.89183,25000,67432.13015
14,3,204.021193,383.6878,792.0314967,974.3782307,21.67445911,19526.53974,25000,28823.40885
15,1,466.4533754,578.4715,884.8616633,1321.909945,29.40509358,26491.0753,25000,55425.66595
15,2,272.0123191,560.5415,777.0266773,1026.211536,22.8274599,20565.27919,25000,62997.40934
15,3,171.9136336,171.9145,812.9590518,963.4415071,21.43117826,19307.3678,25000,23130.77665
16,1,0,0,730.4617458,714.5666397,15.89510616,14319.91546,25000,44745.58141
16,2,0,160.91,558.2599815,546.1120467,12.14793481,10944.08542,25000,48941.49475
16,3,86.32295814,96.8899,752.1016458,820.1801878,18.24441617,16436.41096,25000,14567.18761
17,1,0,0,852.407589,833.8588982,18.54869087,16710.53232,25000,36456.11373
17,2,0,0,725.6871055,709.8958972,15.7912083,14226.31378,25000,38167.80853
17,3,236.8347031,406.8043,794.4712638,1008.864384,22.4415829,20217.64226,25000,9784.829868
