h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
1,1,624.9865535,1036.9096,1041.776273,1630.493477,36.26934911,32675.08929,25000,7675.089288
1,2,65.20311541,1250.2617,1210.051875,1247.50499,27.75,25000,25000,0
1,3,0,96.7304,667.6459698,653.1177572,14.52821264,13088.47985,13088.47985,0
2,1,358.8612654,709.8295,905.1149471,1236.471643,27.50456981,24778.89172,25000,7453.981009
2,2,200.6817106,749.2752,1074.573279,1247.50499,27.75,25000,25000,0
2,3,229.6764648,229.7931,1067.794315,1269.237356,28.23342345,25435.51662,25000,435.5166175
3,1,372.5308451,928.8443,897.7146745,1242.604527,27.64099215,24901.79473,25000,7355.775739
3,2,121.8510884,1003.0939,1153.403902,1247.50499,27.75,25000,25000,0
3,3,103.1935123,103.4432,1096.688808,1173.772457,26.10986403,23522.40003,23957.91665,0
4,1,490.4173137,1211.0357,931.6141275,1391.087534,30.94390753,27877.39417,25000,10233.16991
4,2,171.9885734,1171.1924,1103.266417,1247.50499,27.75,25000,25000,0
4,3,227.7173538,227.833,1014.701024,1215.382914,27.03546369,24356.27359,24356.27359,0
5,1,0,0,826.1210957,808.1444083,17.97668748,16195.21394,25000,1428.383854
5,2,92.77593542,1623.1221,1182.479055,1247.50499,27.75,25000,25000,0
5,3,330.1446546,438.7453,933.1835465,1235.837732,27.49046885,24766.18815,24766.18815,0
6,1,120.772128,120.8335,1081.620716,1176.228351,26.16449392,23571.61615,25000,0
6,2,397.0875178,1635.5117,1269.675309,1630.493477,36.26934911,32675.08929,25000,7675.089288
6,3,0,0,771.5372682,754.7483441,16.78892407,15125.15682,15125.15682,0
7,1,367.1345176,746.4405,1299.628309,1630.493477,36.26934911,32675.08929,25000,7675.089288
7,2,511.6138458,1395.8306,1155.148981,1630.493477,36.26934911,32675.08929,25000,15350.17858
7,3,0,0,817.9955668,800.1956937,17.79987309,16035.9217,10925.22862,5110.693082
8,1,303.5907713,1428.3591,1363.172055,1630.493477,36.26934911,32675.08929,25000,15350.17858
8,2,399.0899457,747.669,1267.672881,1630.493477,36.26934911,32675.08929,25000,23025.26787
8,3,29.72346096,29.7386,984.8340548,992.4803851,22.07713068,19889.30692,25000,0
9,1,306.0103736,1270.6824,1360.752453,1630.493477,36.26934911,32675.08929,25000,23025.26787
