i,j,h,s,f_mw
1,2,1,1,-11.2135115191
1,2,1,2,-15.5473340079
1,2,1,3,-10.6513720287
1,2,2,1,-11.2535278914
1,2,2,2,-10.7546576083
1,2,2,3,-11.1299438725
1,2,3,1,-13.0376879048
1,2,3,2,-11.7110630161
1,2,3,3,-11.6388730470
1,2,4,1,-14.1505999715
1,2,4,2,-14.6413700082
1,2,4,3,-11.2261559902
1,2,5,1,-10.7695090077
1,2,5,2,-13.6867721090
1,2,5,3,-10.6399221790
1,2,6,1,-10.1500522093
1,2,6,2,-15.7560720979
1,2,6,3,-10.7145532722
1,2,7,1,-10.0084193453
1,2,7,2,-12.9475085852
1,2,7,3,-12.4300117900
1,2,8,1,-11.7286694238
1,2,8,2,-13.2567774784
1,2,8,3,-11.7058052800
1,2,9,1,-13.2301138696
1,2,9,2,-15.7718865147
1,2,9,3,-10.9732309573
1,2,10,1,-11.9762264433
1,2,10,2,-12.0807756199
1,2,10,3,-9.7841126929
1,2,11,1,-12.6250619596
1,2,11,2,-13.1415782337
1,2,11,3,-15.6210532226
1,2,12,1,-14.2375696622
1,2,12,2,-20.0459558483
1,2,12,3,-11.8128579325
1,2,13,1,-14.5988365717
1,2,13,2,-13.2462992529
1,2,13,3,-11.2264701572
1,2,14,1,-11.0381186041
1,2,14,2,-12.0881202625
1,2,14,3,-11.4204560803
1,2,15,1,-10.4945978038
1,2,15,2,-11.7822364769
1,2,15,3,-10.2664368533
1,2,16,1,-10.8040774935
1,2,16,2,-11.0535928619
1,2,16,3,-10.4188589300
1,2,17,1,-11.6605934834
1,2,17,2,-10.5155656284
1,2,17,3,-11.0791955319
1,2,18,1,-12.1336521019
1,2,18,2,-17.4381129281
1,2,18,3,-11.7903754651
1,2,19,1,-17.7616451323
1,2,19,2,-11.9195855304
1,2,19,3,-13.0044291944
1,2,20,1,-11.3345900466
1,2,20,2,-11.4662688278
1,2,20,3,-13.1910259172
1,2,21,1,-12.1343155306
1,2,21,2,-10.6367395479
1,2,21,3,-12.2144153872
1,2,22,1,-10.5822496214
1,2,22,2,-13.1177718726
1,2,22,3,-13.0152123848
1,2,23,1,-12.0799309445
1,2,23,2,-10.8256253450
1,2,23,3,-12.6604639619
1,2,24,1,-10.7378025071
1,2,24,2,-11.1286410756
1,2,24,3,-12.4051948032
1,2,25,1,-14.8067902660
1,2,25,2,-10.8066838405
1,2,25,3,-12.6951926561
1,2,26,1,-10.5061861865
1,2,26,2,-10.9227880468
1,2,26,3,-12.9674201052
1,2,27,1,-10.4763822023
1,2,27,2,-10.4530124504
1,2,27,3,-13.5645899555
1,2,28,1,-12.1762272326
1,2,28,2,-15.1257784641
1,2,28,3,-12.4500218126
1,2,29,1,-12.7582665348
1,2,29,2,-12.3010784977
1,2,29,3,-11.4634202747
1,2,30,1,-14.4461697612
1,2,30,2,-10.7146070854
1,2,30,3,-12.6181010012
1,2,31,1,-13.9028668745
1,2,31,2,-10.3041802964
1,2,31,3,-12.5796267302
1,2,32,1,-11.5045421434
1,2,32,2,-11.3901981828
1,2,32,3,-12.5254041959
1,2,33,1,-11.6922725031
1,2,33,2,-10.4881740126
1,2,33,3,-11.1694979790
1,2,34,1,-11.3928755240
1,2,34,2,-11.7692684389
1,2,34,3,-15.6605214226
1,2,35,1,-11.0385499781
1,2,35,2,-9.3337001483
1,2,35,3,-10.8789904808
1,2,36,1,-11.2360255670
1,2,36,2,-7.2689983070
1,2,36,3,-12.2527888282
1,2,37,1,-9.6332830903
1,2,37,2,-11.2518701833
1,2,37,3,-11.9746743348
1,2,38,1,-12.0125192732
1,2,38,2,-10.4176755309
1,2,38,3,-12.4270680887
1,2,39,1,-11.7313371838
1,2,39,2,-11.4322947408
1,2,39,3,-12.9656111858
1,2,40,1,-12.5395330819
1,2,40,2,-12.1512842800
1,2,40,3,-12.5407994377
1,2,41,1,-13.1635679103
1,2,41,2,-12.6284538296
1,2,41,3,-12.1141523028
1,2,42,1,-14.8658836510
1,2,42,2,-11.7659533714
1,2,42,3,-12.7277175790
1,2,43,1,-13.0201473517
1,2,43,2,-11.6267829479
1,2,43,3,-13.4691161464
1,2,44,1,-12.8459725775
1,2,44,2,-11.9173610557
1,2,44,3,-12.9353516773
1,2,45,1,-12.6978869251
1,2,45,2,-12.8284947037
1,2,45,3,-13.3117292783
1,2,46,1,-11.6789412713
1,2,46,2,-11.6576888401
1,2,46,3,-12.5852063605
1,2,47,1,-10.4286512266
1,2,47,2,-10.9087700230
1,2,47,3,-12.7527464445
1,2,48,1,-9.8177964359
1,2,48,2,-10.8630723681
1,2,48,3,-11.6706089283
1,2,49,1,-11.1264812286
1,2,49,2,-9.8700331986
1,2,49,3,-13.1396012739
1,2,50,1,-11.9226719085
1,2,50,2,-10.8186910020
1,2,50,3,-10.7352072084
1,2,51,1,-11.8885763264
1,2,51,2,-10.5469128598
1,2,51,3,-10.6179022011
1,2,52,1,-11.7544287136
1,2,52,2,-10.7120847789
1,2,52,3,-11.1045175720
1,2,53,1,-12.3522972074
1,2,53,2,-11.1388410505
1,2,53,3,-11.6028816515
1,2,54,1,-10.8603921496
1,2,54,2,-12.4952022942
1,2,54,3,-12.3963300661
1,2,55,1,-11.9297176492
1,2,55,2,-10.3251455120
1,2,55,3,-12.1712353984
1,2,56,1,-12.9435010265
1,2,56,2,-11.5606067942
1,2,56,3,-11.3720001457
1,2,57,1,-13.7694522476
1,2,57,2,-12.2363790741
1,2,57,3,-11.0332270801
1,2,58,1,-14.6288069575
1,2,58,2,-11.8122007126
1,2,58,3,-11.5922267751
1,2,59,1,-13.9540044102
1,2,59,2,-10.5163510137
1,2,59,3,-14.2895124146
1,2,60,1,-12.9483575512
1,2,60,2,-11.3966178258
1,2,60,3,-10.6255245736
1,2,61,1,-12.8668836850
1,2,61,2,-10.6463676526
1,2,61,3,-12.1037972331
1,2,62,1,-10.9425403086
1,2,62,2,-10.9407379984
1,2,62,3,-11.7310033016
1,2,63,1,-11.2892616924
1,2,63,2,-15.4409859773
1,2,63,3,-11.5336454340
1,2,64,1,-12.3614621096
1,2,64,2,-13.4884089196
1,2,64,3,-11.8949540496
1,2,65,1,-11.4943511452
1,2,65,2,-12.2339242779
1,2,65,3,-11.6547143577
1,2,66,1,-11.3716387287
1,2,66,2,-11.5528424523
1,2,66,3,-11.7776402241
1,2,67,1,-11.5087491448
1,2,67,2,-12.5901497848
1,2,67,3,-11.0217817886
1,2,68,1,-10.5458719827
1,2,68,2,-12.0870920245
1,2,68,3,-15.1432369788
1,2,69,1,-10.6517606385
1,2,69,2,-11.7727188733
1,2,69,3,-11.0424703443
1,2,70,1,-10.7168513523
1,2,70,2,-10.7076825086
1,2,70,3,-11.2018086871
1,2,71,1,-10.8811687121
1,2,71,2,-10.3396884167
1,2,71,3,-12.0098591410
1,2,72,1,-11.1250355474
1,2,72,2,-11.5168410111
1,2,72,3,-12.4458419159
1,2,73,1,-10.6188500311
1,2,73,2,-12.8170120918
1,2,73,3,-12.0341609106
1,2,74,1,-11.2553053172
1,2,74,2,-12.1749434171
1,2,74,3,-13.4417429230
1,2,75,1,-11.8578730623
1,2,75,2,-13.2239582657
1,2,75,3,-13.0850042037
1,2,76,1,-11.5155674247
1,2,76,2,-10.3104508541
1,2,76,3,-12.9653356715
1,2,77,1,-11.3166852146
1,2,77,2,-10.4757520233
1,2,77,3,-12.5839388940
1,2,78,1,-10.7164663419
1,2,78,2,-10.9452307381
1,2,78,3,-13.3851009604
1,2,79,1,-10.2395402861
1,2,79,2,-12.0681720074
1,2,79,3,-13.1182749020
1,2,80,1,-9.4020293732
1,2,80,2,-13.1861823961
1,2,80,3,-11.2158452890
1,2,81,1,-11.0872717931
1,2,81,2,-14.5848660345
1,2,81,3,-11.3708509477
