k,h,s,yD,pplant_mw
2,1,1,0,0.0000000000
2,1,2,0,0.0000000000
2,1,3,0,0.0000000000
2,2,1,0,0.0000000000
2,2,2,0,0.0000000000
2,2,3,0,0.0000000000
2,3,1,0,0.0000000000
2,3,2,0,0.0000000000
2,3,3,0,0.0000000000
2,4,1,0,0.0000000000
2,4,2,0,0.0000000000
2,4,3,0,0.0000000000
2,5,1,0,0.0000000000
2,5,2,0,0.0000000000
2,5,3,0,0.0000000000
2,6,1,0,0.0000000000
2,6,2,0,0.0000000000
2,6,3,0,0.0000000000
2,7,1,0,0.0000000000
2,7,2,0,0.0000000000
2,7,3,0,0.0000000000
2,8,1,0,0.0000000000
2,8,2,0,0.0000000000
2,8,3,0,0.0000000000
2,9,1,0,0.0000000000
2,9,2,0,0.0000000000
2,9,3,0,0.0000000000
2,10,1,0,0.0000000000
2,10,2,0,0.0000000000
2,10,3,0,0.0000000000
2,11,1,0,0.0000000000
2,11,2,0,0.0000000000
2,11,3,0,0.0000000000
2,12,1,0,0.0000000000
2,12,2,0,0.0000000000
2,12,3,0,0.0000000000
2,13,1,0,0.0000000000
2,13,2,0,0.0000000000
2,13,3,0,0.0000000000
2,14,1,0,0.0000000000
2,14,2,0,0.0000000000
2,14,3,0,0.0000000000
2,15,1,0,0.0000000000
2,15,2,0,0.0000000000
2,15,3,0,0.0000000000
2,16,1,0,0.0000000000
2,16,2,0,0.0000000000
2,16,3,0,0.0000000000
2,17,1,0,0.0000000000
2,17,2,0,0.0000000000
2,17,3,0,0.0000000000
2,18,1,0,0.0000000000
2,18,2,0,0.0000000000
2,18,3,0,0.0000000000
2,19,1,0,0.0000000000
2,19,2,0,0.0000000000
2,19,3,0,0.0000000000
2,20,1,0,0.0000000000
2,20,2,0,0.0000000000
2,20,3,0,0.0000000000
2,21,1,0,0.0000000000
2,21,2,0,0.0000000000
2,21,3,0,0.0000000000
2,22,1,0,0.0000000000
2,22,2,0,0.0000000000
2,22,3,0,0.0000000000
2,23,1,0,0.0000000000
2,23,2,0,0.0000000000
2,23,3,0,0.0000000000
2,24,1,0,0.0000000000
2,24,2,0,0.0000000000
2,24,3,0,0.0000000000
2,25,1,0,0.0000000000
2,25,2,0,0.0000000000
2,25,3,0,0.0000000000
2,26,1,0,0.0000000000
2,26,2,0,0.0000000000
2,26,3,0,0.0000000000
2,27,1,0,0.0000000000
2,27,2,0,0.0000000000
2,27,3,0,0.0000000000
2,28,1,0,0.0000000000
2,28,2,0,0.0000000000
2,28,3,0,0.0000000000
2,29,1,0,0.0000000000
2,29,2,0,0.0000000000
2,29,3,0,0.0000000000
2,30,1,0,0.0000000000
2,30,2,0,0.0000000000
2,30,3,0,0.0000000000
2,31,1,0,0.0000000000
2,31,2,0,0.0000000000
2,31,3,0,0.0000000000
2,32,1,0,0.0000000000
2,32,2,0,0.0000000000
2,32,3,0,0.0000000000
2,33,1,0,0.0000000000
2,33,2,0,0.0000000000
2,33,3,0,0.0000000000
2,34,1,0,0.0000000000
2,34,2,0,0.0000000000
2,34,3,0,0.0000000000
2,35,1,0,0.0000000000
2,35,2,0,0.0000000000
2,35,3,0,0.0000000000
2,36,1,0,0.0000000000
2,36,2,0,0.0000000000
2,36,3,0,0.0000000000
2,37,1,0,0.0000000000
2,37,2,0,0.0000000000
2,37,3,0,0.0000000000
2,38,1,0,0.0000000000
2,38,2,0,0.0000000000
2,38,3,0,0.0000000000
2,39,1,0,0.0000000000
2,39,2,0,0.0000000000
2,39,3,0,0.0000000000
2,40,1,0,0.0000000000
2,40,2,0,0.0000000000
2,40,3,0,0.0000000000
2,41,1,0,0.0000000000
2,41,2,0,0.0000000000
2,41,3,0,0.0000000000
2,42,1,0,0.0000000000
2,42,2,0,0.0000000000
2,42,3,0,0.0000000000
2,43,1,0,0.0000000000
2,43,2,0,0.0000000000
2,43,3,0,0.0000000000
2,44,1,0,0.0000000000
2,44,2,0,0.0000000000
2,44,3,0,0.0000000000
2,45,1,0,0.0000000000
2,45,2,0,0.0000000000
2,45,3,0,0.0000000000
2,46,1,0,0.0000000000
2,46,2,0,0.0000000000
2,46,3,0,0.0000000000
2,47,1,0,0.0000000000
2,47,2,0,0.0000000000
2,47,3,0,0.0000000000
2,48,1,0,0.0000000000
2,48,2,0,0.0000000000
2,48,3,0,0.0000000000
2,49,1,0,0.0000000000
2,49,2,0,0.0000000000
2,49,3,0,0.0000000000
2,50,1,0,0.0000000000
2,50,2,0,0.0000000000
2,50,3,0,0.0000000000
2,51,1,0,0.0000000000
2,51,2,0,0.0000000000
2,51,3,0,0.0000000000
2,52,1,0,0.0000000000
2,52,2,0,0.0000000000
2,52,3,0,0.0000000000
2,53,1,0,0.0000000000
2,53,2,0,0.0000000000
2,53,3,0,0.0000000000
2,54,1,0,0.0000000000
2,54,2,0,0.0000000000
2,54,3,0,0.0000000000
2,55,1,0,0.0000000000
2,55,2,0,0.0000000000
2,55,3,0,0.0000000000
2,56,1,0,0.0000000000
2,56,2,0,0.0000000000
2,56,3,0,0.0000000000
2,57,1,0,0.0000000000
2,57,2,0,0.0000000000
2,57,3,0,0.0000000000
2,58,1,0,0.0000000000
2,58,2,0,0.0000000000
2,58,3,0,0.0000000000
2,59,1,0,0.0000000000
2,59,2,0,0.0000000000
2,59,3,0,0.0000000000
2,60,1,0,0.0000000000
2,60,2,0,0.0000000000
2,60,3,0,0.0000000000
2,61,1,0,0.0000000000
2,61,2,0,0.0000000000
2,61,3,0,0.0000000000
2,62,1,0,0.0000000000
2,62,2,0,0.0000000000
2,62,3,0,0.0000000000
2,63,1,0,0.0000000000
2,63,2,0,0.0000000000
2,63,3,0,0.0000000000
2,64,1,0,0.0000000000
2,64,2,0,0.0000000000
2,64,3,0,0.0000000000
2,65,1,0,0.0000000000
2,65,2,0,0.0000000000
2,65,3,0,0.0000000000
2,66,1,0,0.0000000000
2,66,2,0,0.0000000000
2,66,3,0,0.0000000000
2,67,1,0,0.0000000000
2,67,2,0,0.0000000000
2,67,3,0,0.0000000000
2,68,1,0,0.0000000000
2,68,2,0,0.0000000000
2,68,3,0,0.0000000000
2,69,1,0,0.0000000000
2,69,2,0,0.0000000000
2,69,3,0,0.0000000000
2,70,1,0,0.0000000000
2,70,2,0,0.0000000000
2,70,3,0,0.0000000000
2,71,1,0,0.0000000000
2,71,2,0,0.0000000000
2,71,3,0,0.0000000000
2,72,1,0,0.0000000000
2,72,2,0,0.0000000000
2,72,3,0,0.0000000000
2,73,1,0,0.0000000000
2,73,2,0,0.0000000000
2,73,3,0,0.0000000000
2,74,1,0,0.0000000000
2,74,2,0,0.0000000000
2,74,3,0,0.0000000000
2,75,1,0,0.0000000000
2,75,2,0,0.0000000000
2,75,3,0,0.0000000000
2,76,1,0,0.0000000000
2,76,2,0,0.0000000000
2,76,3,0,0.0000000000
2,77,1,0,0.0000000000
2,77,2,0,0.0000000000
2,77,3,0,0.0000000000
2,78,1,0,0.0000000000
2,78,2,0,0.0000000000
2,78,3,0,0.0000000000
2,79,1,0,0.0000000000
2,79,2,0,0.0000000000
2,79,3,0,0.0000000000
2,80,1,0,0.0000000000
2,80,2,0,0.0000000000
2,80,3,0,0.0000000000
2,81,1,0,0.0000000000
2,81,2,0,0.0000000000
2,81,3,0,0.0000000000
2,82,1,0,0.0000000000
2,82,2,0,0.0000000000
2,82,3,0,0.0000000000
2,83,1,0,0.0000000000
2,83,2,0,0.0000000000
2,83,3,0,0.0000000000
2,84,1,0,0.0000000000
2,84,2,0,0.0000000000
2,84,3,0,0.0000000000
2,85,1,0,0.0000000000
2,85,2,0,0.0000000000
2,85,3,0,0.0000000000
2,86,1,0,0.0000000000
2,86,2,0,0.0000000000
2,86,3,0,0.0000000000
2,87,1,0,0.0000000000
2,87,2,0,0.0000000000
2,87,3,0,0.0000000000
2,88,1,0,0.0000000000
2,88,2,0,0.0000000000
2,88,3,0,0.0000000000
2,89,1,0,0.0000000000
2,89,2,0,0.0000000000
2,89,3,0,0.0000000000
2,90,1,0,0.0000000000
2,90,2,0,0.0000000000
2,90,3,0,0.0000000000
2,91,1,0,0.0000000000
2,91,2,0,0.0000000000
2,91,3,0,0.0000000000
2,92,1,0,0.0000000000
2,92,2,0,0.0000000000
2,92,3,0,0.0000000000
2,93,1,0,0.0000000000
2,93,2,0,0.0000000000
2,93,3,0,0.0000000000
2,94,1,0,0.0000000000
2,94,2,0,0.0000000000
2,94,3,0,0.0000000000
2,95,1,0,0.0000000000
2,95,2,0,0.0000000000
2,95,3,0,0.0000000000
2,96,1,0,0.0000000000
2,96,2,0,0.0000000000
2,96,3,0,0.0000000000
2,97,1,0,0.0000000000
2,97,2,0,0.0000000000
2,97,3,0,0.0000000000
2,98,1,0,0.0000000000
2,98,2,0,0.0000000000
2,98,3,0,0.0000000000
2,99,1,0,0.0000000000
2,99,2,0,0.0000000000
2,99,3,0,0.0000000000
2,100,1,0,0.0000000000
2,100,2,0,0.0000000000
2,100,3,0,0.0000000000
2,101,1,0,0.0000000000
2,101,2,0,0.0000000000
2,101,3,0,0.0000000000
2,102,1,0,0.0000000000
2,102,2,0,0.0000000000
2,102,3,0,0.0000000000
2,103,1,0,0.0000000000
2,103,2,0,0.0000000000
2,103,3,0,0.0000000000
2,104,1,0,0.0000000000
2,104,2,0,0.0000000000
2,104,3,0,0.0000000000
2,105,1,0,0.0000000000
2,105,2,0,0.0000000000
2,105,3,0,0.0000000000
2,106,1,0,0.0000000000
2,106,2,0,0.0000000000
2,106,3,0,0.0000000000
2,107,1,0,0.0000000000
2,107,2,0,0.0000000000
2,107,3,0,0.0000000000
2,108,1,0,0.0000000000
2,108,2,0,0.0000000000
2,108,3,0,0.0000000000
2,109,1,0,0.0000000000
2,109,2,0,0.0000000000
