w,bus,zone,h,s,net_mw
4,4,1,1,1,274.7112569600
4,4,1,1,2,288.1329897600
4,4,1,1,3,291.9969411200
4,4,1,2,1,278.1726454400
4,4,1,2,2,256.6323635200
4,4,1,2,3,236.3516096000
4,4,1,3,1,307.4868067200
4,4,1,3,2,290.0178441600
4,4,1,3,3,211.4217219200
4,4,1,4,1,317.9810710400
4,4,1,4,2,307.7172067200
4,4,1,4,3,234.9308963200
4,4,1,5,1,251.4490140800
4,4,1,5,2,315.0000550400
4,4,1,5,3,260.3836160000
4,4,1,6,1,269.0638934400
4,4,1,6,2,285.0779552000
4,4,1,6,3,253.4359648000
4,4,1,7,1,279.2034928000
4,4,1,7,2,304.9126400000
4,4,1,7,3,182.1154710400
4,4,1,8,1,294.7367049600
4,4,1,8,2,157.5263459200
4,4,1,8,3,214.3253696000
4,4,1,9,1,275.4337843200
4,4,1,9,2,249.1793356800
4,4,1,9,3,275.2688595200
4,4,1,10,1,296.3963660800
4,4,1,10,2,303.4801897600
4,4,1,10,3,278.1071360000
4,4,1,11,1,314.5702400000
4,4,1,11,2,306.1278374400
4,4,1,11,3,270.1561926400
4,4,1,12,1,318.0090576000
4,4,1,12,2,313.1417600000
4,4,1,12,3,267.3603254400
4,4,1,13,1,310.5562035200
4,4,1,13,2,302.8749017600
4,4,1,13,3,287.9130902400
4,4,1,14,1,245.9854969600
4,4,1,14,2,293.9405475200
4,4,1,14,3,294.9007187200
4,4,1,15,1,265.3026928000
4,4,1,15,2,292.1855574400
4,4,1,15,3,271.7899945600
4,4,1,16,1,251.2399785600
4,4,1,16,2,294.7796611200
4,4,1,16,3,267.0383296000
4,4,1,17,1,212.3965180800
4,4,1,17,2,262.6953110400
4,4,1,17,3,286.5073030400
4,4,1,18,1,181.9871459200
4,4,1,18,2,217.3016080000
4,4,1,18,3,209.1610249600
4,4,1,19,1,187.2799673600
4,4,1,19,2,209.2170240000
4,4,1,19,3,164.3521065600
4,4,1,20,1,228.7087945600
4,4,1,20,2,227.1117884800
4,4,1,20,3,148.6126643200
4,4,1,21,1,195.7259520000
4,4,1,21,2,257.2292339200
4,4,1,21,3,188.0473600000
4,4,1,22,1,262.1926835200
4,4,1,22,2,276.6825004800
4,4,1,22,3,158.1581017600
4,4,1,23,1,293.0179036800
4,4,1,23,2,244.7099660800
4,4,1,23,3,172.0369897600
4,4,1,24,1,266.5906764800
4,4,1,24,2,238.2998185600
4,4,1,24,3,189.2710400000
4,4,1,25,1,280.0438236800
4,4,1,25,2,249.6741097600
4,4,1,25,3,172.9846236800
4,4,1,26,1,264.7112387200
4,4,1,26,2,239.9500582400
4,4,1,26,3,169.7370035200
4,4,1,27,1,274.2086291200
4,4,1,27,2,224.2703619200
4,4,1,27,3,145.7697625600
4,4,1,28,1,300.1686780800
4,4,1,28,2,250.2317126400
4,4,1,28,3,189.6962169600
4,4,1,29,1,170.6226134400
4,4,1,29,2,293.5539200000
4,4,1,29,3,228.5613654400
4,4,1,30,1,107.5145545600
4,4,1,30,2,298.3332880000
4,4,1,30,3,175.6202304000
4,4,1,31,1,137.3101558400
4,4,1,31,2,274.2871648000
4,4,1,31,3,177.5154982400
4,4,1,32,1,224.9755334400
4,4,1,32,2,278.5359404800
4,4,1,32,3,185.9836963200
4,4,1,33,1,218.7534320000
4,4,1,33,2,272.9206454400
4,4,1,33,3,242.3559376000
4,4,1,34,1,294.8172800000
4,4,1,34,2,294.3833600000
4,4,1,34,3,60.5169065600
4,4,1,35,1,264.3052908800
4,4,1,35,2,290.9524176000
4,4,1,35,3,253.0040188800
4,4,1,36,1,240.0537600000
4,4,1,36,2,294.2056134400
4,4,1,36,3,202.5552272000
4,4,1,37,1,260.3078291200
4,4,1,37,2,304.8079187200
4,4,1,37,3,205.0233273600
4,4,1,38,1,212.2720758400
4,4,1,38,2,264.4309478400
4,4,1,38,3,187.9229180800
4,4,1,39,1,220.3423145600
4,4,1,39,2,229.2139945600
4,4,1,39,3,165.6236800000
4,4,1,40,1,180.5558236800
4,4,1,40,2,190.4739795200
4,4,1,40,3,181.4935865600
4,4,1,41,1,158.6516611200
4,4,1,41,2,176.7751593600
4,4,1,41,3,200.7404473600
4,4,1,42,1,87.2928540800
4,4,1,42,2,212.4276284800
4,4,1,42,3,173.8236745600
4,4,1,43,1,164.7717964800
4,4,1,43,2,218.3801059200
4,4,1,43,3,147.7148800000
4,4,1,44,1,176.3010134400
4,4,1,44,2,207.5854505600
4,4,1,44,3,169.6736000000
4,4,1,45,1,182.3622508800
4,4,1,45,2,172.4219660800
4,4,1,45,3,153.7555526400
4,4,1,46,1,224.9547932800
4,4,1,46,2,216.1712595200
4,4,1,46,3,183.6060204800
