h,Scenario 1,Scenario 2,Scenario 3
1,0.858472678,0.900415593,0.912490441
2,0.869289517,0.801976136,0.73859878
3,0.960896271,0.906305763,0.660692881
4,0.993690847,0.961616271,0.734159051
5,0.785778169,0.984375172,0.8136988
6,0.840824667,0.89086861,0.79198739
7,0.872510915,0.952852,0.569110847
8,0.921052203,0.492269831,0.66976678
9,0.860730576,0.778685424,0.860215186
10,0.926238644,0.948375593,0.8690848
11,0.983032,0.956649492,0.844238102
12,0.993778305,0.978568,0.835501017
13,0.970488136,0.946484068,0.899728407
14,0.768704678,0.918564211,0.921564746
15,0.829070915,0.913079867,0.849343733
16,0.785124933,0.921186441,0.83449478
17,0.663739119,0.820922847,0.895335322
18,0.568709831,0.679067525,0.653628203
19,0.585249898,0.6538032,0.513600333
20,0.714714983,0.709724339,0.464414576
21,0.6116436,0.803841356,0.587648
22,0.819352136,0.864632814,0.494244068
23,0.915680949,0.764718644,0.537615593
24,0.833095864,0.744686933,0.591472
25,0.875136949,0.780231593,0.540576949
26,0.827222621,0.749843932,0.530428136
27,0.856901966,0.700844881,0.455530508
28,0.938027119,0.781974102,0.592800678
29,0.533195667,0.917356,0.714254267
30,0.335982983,0.932291525,0.54881322
31,0.429094237,0.85714739,0.554735932
32,0.703048542,0.870424814,0.581199051
33,0.683604475,0.852877017,0.757362305
34,0.921304,0.919948,0.189115333
35,0.825954034,0.909226305,0.790637559
36,0.750168,0.919392542,0.632985085
37,0.813461966,0.952524746,0.640697898
38,0.663350237,0.826346712,0.587259119
39,0.688569733,0.716293733,0.517574
40,0.564236949,0.595231186,0.567167458
41,0.495786441,0.552422373,0.627313898
42,0.272790169,0.663836339,0.543198983
43,0.514911864,0.682437831,0.461609
44,0.550940667,0.648704533,0.53023
45,0.569882034,0.538818644,0.480486102
46,0.702983729,0.675535186,0.573768814
47,0.787324339,0.786293559,0.538417627
48,0.861172339,0.792533867,0.6750264
49,0.761866847,0.884929356,0.488259661
50,0.661924339,0.785851797,0.780894237
51,0.656512407,0.843501831,0.80202522
52,0.681303593,0.806835525,0.742066305
53,0.604154933,0.864764933,0.682451333
54,0.791005695,0.928532881,0.564236949
55,0.950437966,0.844778034,0.59821261
