source_type,source_id,wind_bus,zone,E_to_plant_MWh,share_%
wind,104,104.0,3.0,13069.792364239947,28.162751610812798
wind,105,105.0,3.0,8840.564471301052,19.04962331198494
wind,110,110.0,3.0,7571.886780287355,16.315880212595157
wind,99,99.0,3.0,7474.608611504053,16.106265489709838
wind,91,91.0,3.0,2761.0404636134845,5.949482179755494
wind,76,76.0,3.0,2398.7638668257814,5.16884959391135
wind,85,85.0,3.0,1459.5864641303301,3.1451127836029293
wind,90,90.0,3.0,1211.651907230165,2.610864101824247
wind,70,70.0,2.0,591.5442295728157,1.2746578323501652
wind,72,72.0,2.0,458.7633358261378,0.9885419381542531
wind,73,73.0,2.0,413.1422765230808,0.8902378086342222
wind,24,24.0,1.0,156.7258640996717,0.33771244857000726
wind,32,32.0,1.0,0.00919369251184196,1.98105426147106e-05
wind,113,113.0,1.0,0.00040725485793991623,8.775516157272709e-07
wind,4,4.0,1.0,0.0,0.0
wind,56,56.0,2.0,0.0,0.0
wind,42,42.0,2.0,0.0,0.0
wind,36,36.0,2.0,0.0,0.0
wind,18,18.0,1.0,0.0,0.0
wind,8,8.0,1.0,0.0,0.0
